"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.4596","44435091.6536","n/a","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"TURN","180 Degree Capital Corp.","1.56","48549636.72","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","10.15","663151254.85","n/a","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","17.25","138471649.5","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","46.35","1201560714","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","5.32","308370959.12","57964466","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","43.57","2071427901.39","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"JOBS","51job, Inc.","43.575","1167521141.325","26793371","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"CAFD","8point3 Energy Partners LP","13.62","1077027473.34","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","13.5","1227593313","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","16.05","360193923.45","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","29.125","858810593.375","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","36.55","1922542098.05","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ABAX","ABAXIS, Inc.","49.47","1115053800","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABEO","Abeona Therapeutics Inc.","5.575","224422082.15","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","3.48","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","0.641","16509687.022","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","138.57","6051807241.02","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","1.93","316231756.43","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","8.95","509454065.9","n/a","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","47.97","1853649112.77","n/a","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","4.25","214997818.5","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","42.14","3700646853.82","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
