"1347 Property Insurance Holding","PIH",7.6632,7.4500,7.6632,7.4596,1135,0.2250,N/A
"180 Degree Capital Corp.","TURN",1.58,1.57,1.58,1.55,15272,-0.53,0.00
"1-800 FLOWERS.COM, Inc.","FLWS",10.35,10.35,10.35,10.15,107992,0.37,N/A
"1st Constitution Bancorp (NJ)","FCCY",17.43,17.25,17.43,17.25,1141,1.10,0.20
"1st Source Corporation","SRCE",46.46,46.70,46.88,46.26,48505,2.31,0.76
"21Vianet Group, Inc. - American","VNET",5.46,5.60,5.55,4.96,1113538,-1.08,N/A
"2U, Inc.","TWOU",43.30,43.39,43.88,42.85,213780,-0.44,N/A
"51job, Inc. - American Deposita","JOBS",43.38,43.41,43.95,43.33,70061,1.59,N/A
"8point3 Energy Partners LP - Cl","CAFD",13.41,13.41,13.63,13.41,199737,0.81,1.03
"8x8 Inc","EGHT",14.15,13.15,15.00,13.35,3973276,-0.05,N/A
"A V Homes, Inc.","AVHI",16.15,16.10,16.20,15.80,24394,5.72,N/A
"A. Schulman, Inc.","SHLM",29.20,29.25,29.22,28.85,87439,-12.45,0.82
"AAON, Inc.","AAON",36.30,36.45,36.75,36.25,83317,0.97,0.26
"ABAXIS, Inc.","ABAX",48.87,48.96,49.53,48.60,61046,1.44,0.56
"Abeona Therapeutics Inc.","ABEO",5.75,5.70,5.75,5.45,142573,-0.60,N/A
"Abeona Therapeutics Inc. - Warr","ABEOW",N/A,3.48,N/A,N/A,0,N/A,N/A
"Ability Inc. - Ordinary Shares","ABIL",0.6385,0.6081,0.6504,0.6100,42709,-0.3300,N/A
"ABIOMED, Inc.","ABMD",135.69,135.88,139.02,135.69,461131,1.17,N/A
"Abraxas Petroleum Corporation","AXAS",1.95,1.92,1.96,1.87,2805111,-0.31,N/A
"AC Immune SA","ACIU",8.91,8.91,9.00,8.90,7636,-0.20,N/A
"Acacia Communications, Inc.","ACIA",45.92,46.33,48.60,45.62,713226,3.40,N/A
"Acacia Research Corporation","ACTG",4.40,4.40,4.45,4.20,683363,-1.12,0.00
"Acadia Healthcare Company, Inc.","ACHC",42.45,42.52,42.45,41.89,525394,0.17,N/A
"ACADIA Pharmaceuticals Inc.","ACAD",26.28,26.27,26.69,25.86,1154433,-2.61,N/A
"Acasti Pharma, Inc.","ACST",1.23,1.25,1.27,1.23,20289,-0.67,N/A
"Accelerate Diagnostics, Inc.","AXDX",28.55,28.70,28.85,28.10,107794,-1.27,N/A
"Accelerated Pharma, Inc.","ACCP",N/A,N/A,N/A,N/A,0,-1.21,N/A
"Accelerated Pharma, Inc.","ACCPW",N/A,N/A,N/A,N/A,0,N/A,N/A
"Acceleron Pharma Inc.","XLRN",26.33,26.45,26.39,25.14,208988,-2.31,N/A
"Access National Corporation","ANCX",28.22,28.25,28.53,27.99,32821,1.39,0.60
"Accuray Incorporated","ARAY",4.00,4.00,4.15,3.95,508347,-0.39,N/A
